run,group,edge_changed_total,missed_changed_edge_total,miss_both_share_of_missed,miss_one_share_of_missed,miss_neither_share_of_missed,miss_both_share_of_total_changed,miss_one_share_of_total_changed,miss_neither_share_of_total_changed
clean_w012,overall,2804,2240,0.7785714285714286,0.2125,0.008928571428571428,0.6219686162624821,0.16975748930099857,0.007132667617689016
clean_w012,event_type::edge_add,1572,1456,0.7651098901098901,0.22802197802197802,0.006868131868131868,0.7086513994910941,0.21119592875318066,0.006361323155216285
clean_w012,event_type::edge_delete,1648,1122,0.8074866310160428,0.18181818181818182,0.0106951871657754,0.5497572815533981,0.12378640776699029,0.007281553398058253
clean_w012,event_type::node_state_update,342,274,0.7518248175182481,0.24087591240875914,0.0072992700729927005,0.6023391812865497,0.19298245614035087,0.005847953216374269
clean_w012,event_type::motif_type_flip,250,196,0.7142857142857143,0.2755102040816326,0.01020408163265306,0.56,0.216,0.008
noisy_w012_p2,overall,8412,4366,0.8996793403573065,0.0934493815849748,0.006871278057718736,0.46695197337137423,0.04850213980028531,0.003566333808844508
noisy_w012_p2,event_type::edge_add,4716,3668,0.9193020719738277,0.07742639040348964,0.003271537622682661,0.7150127226463104,0.06022052586938083,0.002544529262086514
noisy_w012_p2,event_type::edge_delete,4944,1330,0.8481203007518797,0.13834586466165413,0.013533834586466165,0.22815533980582525,0.0372168284789644,0.0036407766990291263
noisy_w012_p2,event_type::node_state_update,1026,498,0.8755020080321285,0.11244979919678715,0.012048192771084338,0.4249512670565302,0.05458089668615984,0.005847953216374269
noisy_w012_p2,event_type::motif_type_flip,750,388,0.9020618556701031,0.0979381443298969,0.0,0.4666666666666667,0.050666666666666665,0.0
noisy_rft1_p2,overall,8412,4366,0.8996793403573065,0.0934493815849748,0.006871278057718736,0.46695197337137423,0.04850213980028531,0.003566333808844508
noisy_rft1_p2,event_type::edge_add,4716,3668,0.9193020719738277,0.07742639040348964,0.003271537622682661,0.7150127226463104,0.06022052586938083,0.002544529262086514
noisy_rft1_p2,event_type::edge_delete,4944,1330,0.8481203007518797,0.13834586466165413,0.013533834586466165,0.22815533980582525,0.0372168284789644,0.0036407766990291263
noisy_rft1_p2,event_type::node_state_update,1026,498,0.8755020080321285,0.11244979919678715,0.012048192771084338,0.4249512670565302,0.05458089668615984,0.005847953216374269
noisy_rft1_p2,event_type::motif_type_flip,750,388,0.9020618556701031,0.0979381443298969,0.0,0.4666666666666667,0.050666666666666665,0.0
