run,event_type,num_samples,out_of_scope_miss_edge,in_scope_under_edit_edge_share_of_gt_changed,in_scope_over_edit_edge,out_of_scope_miss_node,in_scope_under_edit_node_state_not_improved_share_of_gt_changed,in_scope_over_edit_node_state_mae
clean_w012,node_state_update,606,0.8011695906432749,0.10526315789473684,0.2504716981132076,0.15450643776824036,0.525035765379113,0.08358774587005666
clean_w012,edge_add,634,0.926208651399491,0.03689567430025445,0.2103303862261517,0.1044776119402985,0.746268656716418,0.08158198812947334
clean_w012,edge_delete,685,0.6808252427184466,0.2099514563106796,0.2356717102246676,0.11180124223602485,0.6645962732919255,0.08295694160561735
clean_w012,motif_type_flip,535,0.784,0.144,0.21249332621462894,0.02127659574468085,0.9492635024549918,0.08192703990516996
clean_wg025,node_state_update,606,0.8011695906432749,0.08771929824561403,0.2981132075471698,0.15450643776824036,0.3590844062947067,0.08853836694858896
clean_wg025,edge_add,634,0.926208651399491,0.029262086513994912,0.2671009771986971,0.1044776119402985,0.6417910447761194,0.08705397362668832
clean_wg025,edge_delete,685,0.6808252427184466,0.18325242718446602,0.2810637322329207,0.11180124223602485,0.5962732919254659,0.08929644963764784
clean_wg025,motif_type_flip,535,0.784,0.112,0.2685531233315537,0.02127659574468085,0.9263502454991817,0.0865561058129332
noisy_w012_p2,node_state_update,1818,0.4853801169590643,0.30409356725146197,0.34475939353988133,0.04911778731521221,0.6270863137815927,0.13240943971310123
noisy_w012_p2,edge_add,1902,0.7777777777777778,0.10983884648006785,0.3263750541359896,0.03233830845771144,0.8084577114427861,0.13148851353198698
noisy_w012_p2,edge_delete,2055,0.2690129449838188,0.4393203883495146,0.33227944042617696,0.049689440993788817,0.7432712215320911,0.132202728811895
noisy_w012_p2,motif_type_flip,1605,0.5173333333333333,0.296,0.3226840260390586,0.010365521003818877,0.950354609929078,0.13232001693697795
noisy_rft1_p2,node_state_update,1818,0.4853801169590643,0.3138401559454191,0.3495621056596666,0.04911778731521221,0.40534096328087743,0.11761764921229567
noisy_rft1_p2,edge_add,1902,0.7777777777777778,0.09033078880407125,0.3318319618882633,0.03233830845771144,0.6791044776119403,0.1163395331542255
noisy_rft1_p2,edge_delete,2055,0.2690129449838188,0.42718446601941745,0.338472865866863,0.049689440993788817,0.5962732919254659,0.11773745976832725
noisy_rft1_p2,motif_type_flip,1605,0.5173333333333333,0.256,0.33059589384076116,0.010365521003818877,0.9296235679214403,0.11622078110211727
