section,group,count,full_edge,context_edge,changed_edge,add,delete,full_type,state_mae,proposal_node_scope_recall,proposal_edge_scope_recall,proposal_edge_scope_excess_ratio,proposal_out_of_scope_miss_edge
overall_final,overall,1800,0.8761871091871092,0.8829486367541922,0.24720357941834453,0.11949685534591195,0.3932853717026379,0.9780862794612795,0.11948910637859225,0.9654128837008215,0.7158527954706299,0.9125302663438256,0.534675615212528
overall_all_steps,overall,5400,0.8735246779969001,0.8805096289170364,0.26559139784946234,0.13165266106442577,0.40602055800293685,0.976164749345305,0.120244304130281,0.965264152314512,0.7122353785432365,0.9149310019713722,0.5225806451612903
by_dependency_bucket_final,fully_independent,600,0.8731530784030784,0.8818297874964541,0.27423167848699764,0.1076923076923077,0.4166666666666667,0.9899305555555556,0.11836835166337815,0.9435294117647058,0.6296296296296297,0.9473031618102914,0.4940898345153665
by_dependency_bucket_final,partially_dependent,600,0.8761469456469456,0.8838924100590767,0.27485380116959063,0.16049382716049382,0.37777777777777777,0.976188973063973,0.11832155051823667,0.9757575757575757,0.703954802259887,0.9200564609264725,0.4707602339181286
by_dependency_bucket_final,strongly_interacting,600,0.8792613035113035,0.883123712707046,0.08527131782945736,0.08333333333333333,0.1111111111111111,0.9681393097643098,0.12177741695416194,0.9721329046087889,0.7701421800947867,0.8658872077028886,0.8372093023255813
by_dependency_bucket_all_steps,fully_independent,1800,0.8721677088343754,0.8801789198455865,0.26036036036036037,0.12252252252252252,0.3981981981981982,0.9810248316498317,0.1189270877361122,0.9557160048134777,0.6768577494692144,0.9343249145070248,0.5162162162162163
by_dependency_bucket_all_steps,partially_dependent,1800,0.8723773849607184,0.8795670080947858,0.2634920634920635,0.13333333333333333,0.38181818181818183,0.9767062289562289,0.1203002674699114,0.9666445769825491,0.7172717271727173,0.9175275119112872,0.5037037037037038
by_dependency_bucket_all_steps,strongly_interacting,1800,0.8760289401956068,0.8817829588107367,0.2761904761904762,0.14184397163120568,0.4583333333333333,0.9707631874298541,0.12150555718481942,0.9718448513486907,0.7334553217444343,0.8907513400563278,0.5564625850340136
by_event_type_all_steps,edge_add,1428,0.8605901451489687,0.8768482943552972,0.13165266106442577,0.13165266106442577,,0.9971884460855049,0.11557193408691394,0.9586834733893558,0.1561624649859944,0.9884029330698424,0.8438375350140056
by_event_type_all_steps,edge_delete,1362,0.8731751646949885,0.8838228136686287,0.40602055800293685,,0.40602055800293685,0.9959147273023925,0.11583828887101254,0.9695301027900147,0.8142437591776799,0.9356952336773745,0.18575624082232012
by_event_type_all_steps,motif_type_flip,1149,0.8823956335705684,0.8823956335705684,,,,0.9027997556065441,0.1184020378415526,0.9767914128227444,0.8407310704960835,0.8778529430359739,
by_event_type_all_steps,node_state_update,1461,0.8795163426580265,0.8795163426580265,,,,0.9949019628177739,0.13036743977080173,0.9583861427967891,0.8221814848762603,0.8480519480519481,
by_corruption_setting_final,N1,600,0.9012776575276575,0.9083981635648303,0.24161073825503357,0.11320754716981132,0.38848920863309355,0.9778097643097643,0.08079073895149008,0.9747081712062257,0.7547770700636943,0.9055651480940364,0.5234899328859061
by_corruption_setting_final,N2,600,0.8767382154882155,0.8836547464880798,0.2348993288590604,0.11949685534591195,0.3669064748201439,0.9786186868686868,0.1066123045270491,0.9636835278858625,0.7229299363057324,0.9123890389810884,0.5033557046979866
by_corruption_setting_final,N3,600,0.8505454545454545,0.8567930002096669,0.2651006711409396,0.12578616352201258,0.4244604316546763,0.9778303872053872,0.17106427565723759,0.9578469520103762,0.6698513800424628,0.9193713263480705,0.5771812080536913
by_corruption_setting_all_steps,N1,1800,0.897396785313452,0.9048858785247674,0.24731182795698925,0.11554621848739496,0.3854625550660793,0.9758428731762065,0.08107383163481131,0.973839110529758,0.7509867240760675,0.9081211589113257,0.510752688172043
by_corruption_setting_all_steps,N2,1800,0.8741538800705466,0.8812353695687029,0.26021505376344084,0.12605042016806722,0.4008810572687225,0.9764107744107744,0.10760299949874781,0.9651188140396774,0.7111589522784356,0.9153931529070264,0.5096774193548388
by_corruption_setting_all_steps,N3,1800,0.8490233686067019,0.8554076386576387,0.289247311827957,0.15336134453781514,0.43171806167400884,0.9762406004489338,0.1720560812572839,0.9568345323741008,0.6745604592752064,0.9209951252311313,0.5473118279569893
